Company,Domain,Number of Reviews,Trustscore,5 stars reviews percentage,4 stars reviews percentage,3 stars reviews percentage,2 stars reviews percentage,1 star reviews percentage,Review Stars,Review Comment,Company Response
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Awesome customer service. Sarah Webb helped me with loan process.  She’s very professional, patient, friendly and quick at responding.  I would recommend Evergreen CU to anyone.  The service is excellent!  The tellers are great and always helpful.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Evergreen Credit Union was amazing to work with.  Sarah Hutchins, our Mortgage Loan Originator, went above and beyond in guiding us through the loan process.  There were many calls accommodating after work hours, which I was grateful for.  Thank you Sarah for helping us with closing on our forever home!Sherry",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Casey was a pleasure to deal with, quick response times, knowledgeable, I've been doing business with Evergreen C.U. many years, always great rates !",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"I called the Evergreen's Portland location on Saturday, 04.20.2024.  It seemed a log in change had been made which asked if I were an adult.  The posting was done by Cloudflare.  The potential for a possible scam or worse gave me pause before answering.  The 'authentication' (I guess) somehow gave sufficient proof so I was then able to log into my account.I also had a rather minor request to edit the names on specific accounts.My call was taken by Danielle and together we were able to address and resolve.Having employees who feel professional yet personable service are critical in securing confidence in both Evergreen and their employees.Your mission and mine were met by Danielle.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"We found Judy Brochu to be sincerely warm and friendly. Anyone can read a script but Judy was obviously doing more than that.She was knowledgeable and patient and took our information and passed it on by email to the correct department. A few days later the outcome that we requested showed up on our Consolidation Loan. Thank you, Judy. John and Rose Duran",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,3,"I have had great experience with them, but, I do have one large gripe, and that is the lack of atm locations in the Windham, Gorham, Westbrook area. There is 1 available atm and that is at the bank in North Windham.  It would be nice to see some free ATMs be brought to Westbrook / Gorham area so you don't have to drive 20 - 30 min just to use a free ATM.",
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,My wife and I are buying are house and something appeared on my credit report which was no longer my affiliation. Rebecca was very helpful and fast in getting a letter out to me to clear things up.Buying a house is pretty stressful and when odd things pop up its great to know ECU and people like Rebecca are your corner to take quick action.THANK YOU REBECCA!,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,1,I was very disappointed to be denied a credit card from Evergreen. We successfully paid our boat loan with them and were looking for a good credit card to transfer a higher interest one. We are homeowners with no mortgage who have been with Evergreen for 5 years. Maybe it's because we are retired?,Company has responded to this review.
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,Rebecca was very helpful in finding my transaction records from a few years ago. She was able to get me the information I needed very quickly and was very kind throughout our multiple conversations. I’ve been a member for more than 25 years and employees like Rebecca are why I’ve continued to bank here.,
Evergreen Credit Union,egcu.org,349,4.8,95%,2%,<1%,<1%,1%,5,"Great experience with Cassandra Hanson and a lease to used-car loan.  These can be complicated, starting with the lease lienholder.  Cassandra made it easy.  Also, I would like to include Isiah, who I initially contacted, and he gave me some good tips on getting the loan process started.Evergreen has had a great team since its humble beginnings in South Portland and looking forward to the new branch opening in Scarborough.",
